Date,Open,High,Low,Close,Volume
2023-01-01,151.83,151.96,150.83,151.64,1862958
2023-01-02,151.63,151.97,151.34,151.37,1932867
2023-01-03,152.96,154.83,151.44,153.48,1163339
2023-01-04,158.5,159.77,157.92,158.31,2131329
2023-01-05,157.96,158.73,156.52,157.73,947550
2023-01-06,156.59,158.03,155.18,157.15,2080626
2023-01-07,163.78,165.65,161.37,162.27,1232882
2023-01-08,165.31,165.65,163.24,164.92,1137827
2023-01-09,162.57,164.8,161.3,163.54,1847843
2023-01-10,166.02,166.68,163.66,165.48,2340889
2023-01-11,163.31,164.75,164.1,164.11,2235434
2023-01-12,163.39,165.1,161.96,162.74,1395603
2023-01-13,164.64,166.15,162.3,163.7,1188349
2023-01-14,156.95,159.02,156.33,157.59,1862729
2023-01-15,153.05,154.81,151.47,152.32,1826919
2023-01-16,151.07,151.84,149.83,150.76,2449189
2023-01-17,148.46,149.71,147.57,147.85,2089349
2023-01-18,150.34,150.86,148.75,148.93,1903894
2023-01-19,146.19,147.34,145.08,146.37,1194030
2023-01-20,141.85,143.0,140.73,142.39,2225753
2023-01-21,146.05,147.51,145.12,146.7,876077
2023-01-22,145.59,147.35,143.19,146.19,1676906
2023-01-23,146.47,146.66,144.63,146.53,933515
2023-01-24,142.74,144.95,142.76,142.5,1793497
2023-01-25,141.29,141.28,141.55,141.09,2055564
2023-01-26,142.13,141.98,140.66,141.55,925885
2023-01-27,138.44,139.93,138.14,138.43,1696209
2023-01-28,140.62,141.88,139.13,139.61,1341656
2023-01-29,137.89,139.19,139.32,138.07,1470688
2023-01-30,139.27,140.41,137.48,137.4,988014
2023-01-31,136.31,136.98,135.12,135.89,891751
2023-02-01,140.45,141.13,139.08,141.06,1030203
2023-02-02,140.4,141.92,138.57,141.16,1613738
2023-02-03,138.65,138.87,137.76,138.31,1495275
2023-02-04,140.57,142.12,139.34,140.73,1623651
2023-02-05,137.92,138.51,135.77,137.43,2060527
2023-02-06,138.47,138.59,137.01,138.14,2353731
2023-02-07,132.82,133.32,131.44,132.87,995716
2023-02-08,128.92,130.39,129.37,129.47,1384567
2023-02-09,129.13,130.39,129.05,130.11,1115172
2023-02-10,131.87,132.28,131.2,132.16,1690695
2023-02-11,133.32,134.14,133.07,132.75,800126
2023-02-12,132.72,133.54,131.96,132.57,1638761
2023-02-13,131.09,132.23,129.87,131.91,1876208
2023-02-14,128.25,128.59,128.47,128.14,1300315
2023-02-15,126.67,127.45,126.13,126.42,1958521
2023-02-16,124.83,125.1,123.56,125.38,1117320
2023-02-17,128.26,128.0,127.4,128.16,2099445
2023-02-18,129.21,129.39,127.96,129.17,1541426
2023-02-19,124.03,125.23,122.55,124.74,1298716
2023-02-20,125.9,126.73,125.63,125.68,1843917
2023-02-21,125.18,126.73,125.4,124.83,2023975
2023-02-22,123.94,125.09,121.79,123.27,1262120
2023-02-23,125.56,126.09,124.63,124.9,1983445
2023-02-24,126.72,128.23,125.68,127.6,978954
2023-02-25,129.5,130.1,128.53,130.11,1469078
2023-02-26,128.38,129.01,127.03,128.05,1883136
2023-02-27,127.72,128.17,126.2,127.39,1084260
2023-02-28,128.69,129.54,127.75,128.36,932717
2023-03-01,133.52,133.63,129.79,130.99,2027171
2023-03-02,130.24,131.23,129.39,129.87,1448373
2023-03-03,130.25,131.9,128.84,129.52,1179862
2023-03-04,127.38,127.95,125.99,126.78,1294592
2023-03-05,124.28,125.15,122.69,123.87,1948734
2023-03-06,125.81,127.07,124.82,126.01,2017078
2023-03-07,130.05,130.43,129.4,129.55,2281074
2023-03-08,129.0,130.29,128.67,129.5,1130388
2023-03-09,132.07,132.89,130.76,132.23,1118408
2023-03-10,132.99,134.05,132.39,133.31,1268276
2023-03-11,131.78,131.93,131.56,131.73,1814920
2023-03-12,134.35,135.04,131.04,132.81,857545
2023-03-13,135.75,138.06,135.44,137.03,1311411
2023-03-14,137.54,139.22,135.93,137.07,1625656
2023-03-15,140.35,142.88,140.05,141.49,1820020
2023-03-16,133.91,136.34,132.72,134.22,1684377
2023-03-17,137.31,137.47,134.65,136.56,813224
2023-03-18,136.98,138.26,135.14,136.94,840738
2023-03-19,135.52,137.06,134.88,136.25,1742654
2023-03-20,136.15,138.82,135.65,136.64,2029336
2023-03-21,131.79,131.92,130.1,131.35,1817433
2023-03-22,130.42,131.01,130.19,130.9,1266725
2023-03-23,132.11,132.37,130.21,131.97,1463937
2023-03-24,136.03,135.27,135.27,136.0,2380934
2023-03-25,134.29,135.04,132.8,134.73,1974737
2023-03-26,134.1,134.27,131.59,132.68,2381530
2023-03-27,131.9,132.66,130.86,131.48,1644193
2023-03-28,132.66,134.92,131.43,134.02,1098512
2023-03-29,135.16,137.11,134.1,135.04,1462143
2023-03-30,133.3,135.05,133.3,133.74,1366202
2023-03-31,135.82,136.11,134.18,135.25,2050155
2023-04-01,135.11,135.71,135.0,135.65,1452026
2023-04-02,138.33,139.44,136.86,138.41,1796530
2023-04-03,136.95,136.73,136.28,136.6,1571253
2023-04-04,136.43,138.36,136.15,135.85,1304471
2023-04-05,134.11,136.39,131.78,134.92,2178246
2023-04-06,130.88,131.45,129.71,131.1,1606388
2023-04-07,131.7,131.54,131.42,132.01,2067543
2023-04-08,132.4,134.39,131.6,132.83,1183152
2023-04-09,134.15,134.74,132.56,132.98,1754652
2023-04-10,132.75,134.24,131.42,132.49,894270
2023-04-11,128.06,128.49,127.47,128.87,1845482
2023-04-12,128.5,128.76,127.17,127.91,2391961
2023-04-13,128.51,129.16,127.27,127.16,1995889
2023-04-14,125.9,126.56,124.78,125.25,958768
2023-04-15,124.02,125.32,123.61,124.97,2095302
2023-04-16,125.8,127.13,124.91,126.11,1370451
2023-04-17,131.82,131.78,130.02,130.99,819816
2023-04-18,131.11,132.14,130.17,131.58,1767344
2023-04-19,132.68,133.42,131.99,132.39,1557907
2023-04-20,132.84,133.84,131.38,132.32,1114997
2023-04-21,126.79,128.47,126.34,127.38,2004565
2023-04-22,127.4,127.36,128.08,127.44,2469595
2023-04-23,125.65,127.38,125.57,127.72,2055100
2023-04-24,133.45,135.67,132.57,134.14,2435687
2023-04-25,133.59,134.65,133.72,133.76,1838896
2023-04-26,133.86,134.87,132.91,134.7,2000454
2023-04-27,135.84,137.57,132.69,134.74,1530880
2023-04-28,130.78,132.46,129.47,131.72,2374623
2023-04-29,134.57,136.34,132.64,134.87,1581452
2023-04-30,137.12,137.85,136.1,137.03,2283741
2023-05-01,140.34,142.49,138.65,139.33,933554
2023-05-02,135.96,138.83,136.42,136.94,1251282
2023-05-03,141.74,142.27,140.44,140.92,1942077
2023-05-04,137.11,138.47,136.27,137.11,1064223
2023-05-05,138.17,140.0,138.05,138.85,1908252
2023-05-06,145.41,147.13,142.75,145.08,2022108
2023-05-07,142.49,142.51,141.8,142.35,2463261
2023-05-08,140.45,142.06,140.29,140.88,1397135
2023-05-09,141.35,142.8,139.55,141.3,2466471
2023-05-10,139.75,139.49,139.85,140.02,1020178
2023-05-11,135.89,135.77,135.37,135.81,1998097
2023-05-12,136.59,135.88,135.17,136.14,1226752
2023-05-13,134.44,134.93,133.14,133.38,1388365
2023-05-14,133.94,135.93,134.79,134.78,1624690
2023-05-15,133.85,135.52,131.89,132.43,1503662
2023-05-16,135.34,137.41,134.83,136.67,2105585
2023-05-17,134.56,136.44,133.58,134.67,1986293
2023-05-18,134.33,134.07,132.7,133.93,2230491
2023-05-19,136.44,135.96,136.13,136.25,1362288
2023-05-20,132.62,133.66,131.38,133.03,2399601
2023-05-21,133.63,134.69,133.01,133.77,1100709
2023-05-22,137.06,138.06,136.05,137.4,1743026
2023-05-23,132.73,132.41,132.38,133.12,2034816
2023-05-24,134.31,134.92,133.3,133.74,2425351
2023-05-25,134.81,134.61,134.6,134.57,2123062
2023-05-26,136.34,137.95,135.31,136.81,2151526
2023-05-27,134.16,135.08,132.72,133.56,2159490
2023-05-28,130.37,130.41,128.88,130.17,1927199
2023-05-29,132.19,132.52,130.71,131.66,2213897
2023-05-30,132.99,132.95,132.16,132.57,1817289
